Iteration,Cost,Sequence
0,45,5 2 1 6 3 4
1,45,5 2 1 6 3 4
2,33,1 2 5 6 3 4
3,33,1 2 5 6 3 4
4,33,1 2 5 6 3 4
5,33,2 1 5 6 3 4
6,33,2 1 5 6 3 4
7,33,2 1 5 6 3 4
8,33,2 1 5 6 3 4
9,33,2 1 5 6 3 4
10,33,2 1 5 6 3 4
11,29,2 1 6 5 3 4
12,29,2 1 6 5 3 4
13,29,2 1 6 5 3 4
14,29,2 1 6 5 3 4
15,29,2 1 6 5 3 4
16,29,2 1 6 5 3 4
17,29,1 2 6 5 3 4
18,29,1 2 6 5 3 4
19,29,1 2 6 5 3 4
20,29,1 2 6 5 3 4
21,29,1 2 6 5 3 4
22,29,1 2 6 5 3 4
23,29,1 2 6 5 3 4
24,29,1 2 6 5 3 4
25,29,1 2 6 5 3 4
26,29,1 2 6 5 3 4
27,29,1 2 6 5 3 4
28,29,1 2 6 5 3 4
29,29,1 2 6 5 3 4
30,29,1 2 6 5 3 4
31,29,1 2 6 5 3 4
32,29,1 2 6 5 3 4
33,29,1 2 6 5 3 4
34,29,1 2 6 5 3 4
35,29,1 2 6 5 3 4
36,29,1 2 6 5 3 4
37,29,1 2 6 5 3 4
38,29,1 2 6 5 3 4
39,29,1 2 6 5 3 4
40,29,1 2 6 5 3 4
41,29,1 2 6 5 3 4
42,29,1 2 6 5 3 4
43,29,1 2 6 5 3 4
44,29,1 2 6 5 3 4
45,29,1 2 6 5 3 4
46,29,1 2 6 5 3 4
47,29,1 2 6 5 3 4
48,29,1 2 6 5 3 4
49,29,1 2 6 5 3 4
50,29,1 2 6 5 3 4
51,29,1 2 6 5 3 4
52,29,1 2 6 5 3 4
53,29,1 2 6 5 3 4
54,29,1 2 6 5 3 4
55,29,1 2 6 5 3 4
56,29,1 2 6 5 3 4
57,29,1 2 6 5 3 4
58,29,1 2 6 5 3 4
59,29,1 2 6 5 3 4
60,29,1 2 6 5 3 4
61,29,1 2 6 5 3 4
62,29,1 2 6 5 3 4
63,29,1 2 6 5 3 4
64,29,1 2 6 5 3 4
65,29,1 2 6 5 3 4
66,29,2 1 6 5 3 4
67,29,2 1 6 5 3 4
68,29,2 1 6 5 3 4
69,29,2 1 6 5 3 4
70,29,2 1 6 5 3 4
71,29,2 1 6 5 3 4
72,29,1 2 6 5 3 4
73,29,1 2 6 5 3 4
74,29,1 2 6 5 3 4
75,29,1 2 6 5 3 4
76,29,1 2 6 5 3 4
77,29,1 2 6 5 3 4
78,29,1 2 6 5 3 4
79,29,1 2 6 5 3 4
80,29,1 2 6 5 3 4
81,29,1 2 6 5 3 4
82,29,1 2 6 5 3 4
83,29,1 2 6 5 3 4
84,29,2 1 6 5 3 4
85,29,1 2 6 5 3 4
86,29,1 2 6 5 3 4
87,29,1 2 6 5 3 4
88,29,1 2 6 5 3 4
89,29,1 2 6 5 3 4
90,29,1 2 6 5 3 4
91,29,1 2 6 5 3 4
92,29,1 2 6 5 3 4
93,29,1 2 6 5 3 4
94,29,1 2 6 5 3 4
95,29,1 2 6 5 3 4
96,29,1 2 6 5 3 4
97,29,1 2 6 5 3 4
98,29,1 2 6 5 3 4
99,29,1 2 6 5 3 4
