Iteration,Cost,Sequence
0,52,5 4 2 6 3 1
1,48,6 5 2 4 1 3
2,48,6 5 2 4 1 3
3,45,1 2 3 6 4 5
4,45,1 2 3 6 4 5
5,45,1 2 3 6 4 5
6,33,2 1 5 6 3 4
7,33,2 1 5 6 3 4
8,33,2 1 5 6 3 4
9,33,2 1 5 6 3 4
10,33,2 1 5 6 3 4
11,33,2 1 5 6 3 4
12,33,2 1 5 6 3 4
13,33,2 1 5 6 3 4
14,33,2 1 5 6 3 4
15,33,2 1 5 6 3 4
16,33,2 1 5 6 3 4
17,33,2 1 5 6 3 4
18,33,2 1 5 6 3 4
19,33,2 1 5 6 3 4
20,33,2 1 5 6 3 4
21,33,2 1 5 6 3 4
22,33,2 1 5 6 3 4
23,33,2 1 5 6 3 4
24,33,2 1 5 6 3 4
25,33,2 1 5 6 3 4
26,33,2 1 5 6 3 4
27,33,2 1 5 6 3 4
28,33,2 1 5 6 3 4
29,33,2 1 5 6 3 4
30,33,2 1 5 6 3 4
31,33,2 1 5 6 3 4
32,33,2 1 5 6 3 4
33,33,2 1 5 6 3 4
34,33,2 1 5 6 3 4
35,33,2 1 5 6 3 4
36,33,2 1 5 6 3 4
37,33,2 1 5 6 3 4
38,33,2 1 5 6 3 4
39,33,2 1 5 6 3 4
40,33,2 1 5 6 3 4
41,33,2 1 5 6 3 4
42,33,2 1 5 6 3 4
43,33,2 1 5 6 3 4
44,33,2 1 5 6 3 4
45,33,2 1 5 6 3 4
46,33,2 1 5 6 3 4
47,33,2 1 5 6 3 4
48,27,1 2 4 3 6 5
49,27,1 2 4 3 6 5
50,27,1 2 4 3 6 5
51,27,1 2 4 3 6 5
52,27,1 2 4 3 6 5
53,27,1 2 4 3 6 5
54,27,1 2 4 3 6 5
55,27,1 2 4 3 6 5
56,27,1 2 4 3 6 5
57,27,1 2 4 3 6 5
58,27,1 2 4 3 6 5
59,27,1 2 4 3 6 5
60,27,1 2 4 3 6 5
61,27,1 2 4 3 6 5
62,27,1 2 4 3 6 5
63,27,1 2 4 3 6 5
64,27,1 2 4 3 6 5
65,27,1 2 4 3 6 5
66,27,1 2 4 3 6 5
67,27,1 2 4 3 6 5
68,27,1 2 4 3 6 5
69,27,1 2 4 3 6 5
70,27,1 2 4 3 6 5
71,27,1 2 4 3 6 5
72,27,1 2 4 3 6 5
73,27,1 2 4 3 6 5
74,27,1 2 4 3 6 5
75,27,1 2 4 3 6 5
76,27,1 2 4 3 6 5
77,27,1 2 4 3 6 5
78,27,1 2 4 3 6 5
79,27,1 2 4 3 6 5
80,27,1 2 4 3 6 5
81,27,1 2 4 3 6 5
82,27,1 2 4 3 6 5
83,27,1 2 4 3 6 5
84,27,1 2 4 3 6 5
85,27,1 2 4 3 6 5
86,27,1 2 4 3 6 5
87,27,1 2 4 3 6 5
88,27,1 2 4 3 6 5
89,27,1 2 4 3 6 5
90,27,1 2 4 3 6 5
91,27,1 2 4 3 6 5
92,27,1 2 4 3 6 5
93,27,1 2 4 3 6 5
94,27,1 2 4 3 6 5
95,27,1 2 4 3 6 5
96,27,1 2 4 3 6 5
97,27,1 2 4 3 6 5
98,27,1 2 4 3 6 5
99,27,1 2 4 3 6 5
