Iteration,Cost,Temperature,Sequence
0,62,1000,5 2 6 4 3 1
1,40,3,5 3 6 4 2 1
2,52,0.4771213,5 4 6 3 2 1
3,54,1E-06,5 4 6 1 2 3
4,48,1E-06,5 6 4 1 2 3
5,48,1E-06,5 6 4 1 2 3
6,48,1E-06,5 6 4 1 2 3
7,44,1E-06,6 5 4 1 2 3
8,44,1E-06,6 5 4 1 2 3
9,42,1E-06,6 5 4 3 2 1
10,41,1E-06,6 5 4 3 1 2
11,33,1E-06,6 5 3 4 1 2
12,33,1E-06,6 5 3 4 1 2
13,33,1E-06,6 5 3 4 1 2
14,33,1E-06,6 5 3 4 1 2
15,33,1E-06,6 5 3 4 1 2
16,33,1E-06,6 5 3 4 1 2
17,33,1E-06,6 5 3 4 1 2
18,33,1E-06,6 5 3 4 1 2
19,33,1E-06,6 5 3 4 1 2
20,33,1E-06,6 5 3 4 1 2
21,33,1E-06,6 5 3 4 1 2
22,33,1E-06,6 5 3 4 1 2
23,33,1E-06,6 5 3 4 1 2
24,33,1E-06,6 5 3 4 1 2
25,33,1E-06,6 5 3 4 1 2
26,33,1E-06,6 5 3 4 1 2
27,33,1E-06,6 5 3 4 1 2
28,33,1E-06,6 5 3 4 1 2
29,33,1E-06,6 5 3 4 1 2
30,33,1E-06,6 5 3 4 1 2
31,33,1E-06,6 5 3 4 1 2
32,33,1E-06,6 5 3 4 1 2
33,33,1E-06,6 5 3 4 1 2
34,33,1E-06,6 5 3 4 1 2
35,33,1E-06,6 5 3 4 1 2
36,33,1E-06,6 5 3 4 1 2
37,33,1E-06,6 5 3 4 1 2
38,33,1E-06,6 5 3 4 1 2
39,33,1E-06,6 5 3 4 1 2
40,33,1E-06,6 5 3 4 1 2
41,33,1E-06,6 5 3 4 1 2
42,33,1E-06,6 5 3 4 1 2
43,33,1E-06,6 5 3 4 1 2
44,33,1E-06,6 5 3 4 1 2
45,33,1E-06,6 5 3 4 1 2
46,33,1E-06,6 5 3 4 1 2
47,33,1E-06,6 5 3 4 1 2
48,33,1E-06,6 5 3 4 1 2
49,33,1E-06,6 5 3 4 1 2
50,30,1E-06,6 5 3 4 2 1
51,30,1E-06,6 5 3 4 2 1
52,30,1E-06,6 5 3 4 2 1
53,30,1E-06,6 5 3 4 2 1
54,30,1E-06,6 5 3 4 2 1
55,30,1E-06,6 5 3 4 2 1
56,30,1E-06,6 5 3 4 2 1
57,30,1E-06,6 5 3 4 2 1
58,30,1E-06,6 5 3 4 2 1
59,30,1E-06,6 5 3 4 2 1
60,30,1E-06,6 5 3 4 2 1
61,30,1E-06,6 5 3 4 2 1
62,30,1E-06,6 5 3 4 2 1
63,30,1E-06,6 5 3 4 2 1
64,30,1E-06,6 5 3 4 2 1
65,30,1E-06,6 5 3 4 2 1
66,30,1E-06,6 5 3 4 2 1
67,30,1E-06,6 5 3 4 2 1
68,30,1E-06,6 5 3 4 2 1
69,30,1E-06,6 5 3 4 2 1
70,30,1E-06,6 5 3 4 2 1
71,30,1E-06,6 5 3 4 2 1
72,30,1E-06,6 5 3 4 2 1
73,30,1E-06,6 5 3 4 2 1
74,30,1E-06,6 5 3 4 2 1
75,30,1E-06,6 5 3 4 2 1
76,30,1E-06,6 5 3 4 2 1
77,30,1E-06,6 5 3 4 2 1
78,30,1E-06,6 5 3 4 2 1
79,30,1E-06,6 5 3 4 2 1
80,30,1E-06,6 5 3 4 2 1
81,30,1E-06,6 5 3 4 2 1
82,30,1E-06,6 5 3 4 2 1
83,30,1E-06,6 5 3 4 2 1
84,30,1E-06,6 5 3 4 2 1
85,30,1E-06,6 5 3 4 2 1
86,30,1E-06,6 5 3 4 2 1
87,30,1E-06,6 5 3 4 2 1
88,30,1E-06,6 5 3 4 2 1
89,30,1E-06,6 5 3 4 2 1
90,30,1E-06,6 5 3 4 2 1
91,30,1E-06,6 5 3 4 2 1
92,30,1E-06,6 5 3 4 2 1
93,30,1E-06,6 5 3 4 2 1
94,30,1E-06,6 5 3 4 2 1
95,30,1E-06,6 5 3 4 2 1
96,30,1E-06,6 5 3 4 2 1
97,30,1E-06,6 5 3 4 2 1
98,30,1E-06,6 5 3 4 2 1
99,30,1E-06,6 5 3 4 2 1
