Iteration,Cost,Sequence
0,54,4 5 3 2 6 1
1,54,4 5 3 2 6 1
2,42,2 1 6 4 5 3
3,39,2 1 5 3 6 4
4,39,2 1 5 3 6 4
5,37,5 6 3 1 2 4
6,37,5 6 3 1 2 4
7,37,5 6 3 1 2 4
8,37,5 6 3 1 2 4
9,37,5 6 3 1 2 4
10,37,5 6 3 1 2 4
11,37,5 6 3 1 2 4
12,37,5 6 3 1 2 4
13,37,5 6 3 1 2 4
14,37,5 6 3 1 2 4
15,37,5 6 3 1 2 4
16,37,5 6 3 1 2 4
17,37,5 6 3 1 2 4
18,37,5 6 3 1 2 4
19,37,5 6 3 1 2 4
20,37,5 6 3 1 2 4
21,37,5 6 3 1 2 4
22,37,5 6 3 1 2 4
23,37,5 6 3 1 2 4
24,37,5 6 3 1 2 4
25,37,5 6 3 1 2 4
26,37,5 6 3 1 2 4
27,37,5 6 3 1 2 4
28,37,5 6 3 1 2 4
29,37,5 6 3 1 2 4
30,37,5 6 3 1 2 4
31,37,5 6 3 1 2 4
32,37,5 6 3 1 2 4
33,37,5 6 3 1 2 4
34,37,5 6 3 1 2 4
35,37,5 6 3 1 2 4
36,37,5 6 3 1 2 4
37,37,5 6 3 1 2 4
38,37,5 6 3 1 2 4
39,37,5 6 3 1 2 4
40,37,5 6 3 1 2 4
41,37,5 6 3 1 2 4
42,37,5 6 3 1 2 4
43,37,5 6 3 1 2 4
44,37,5 6 3 1 2 4
45,37,5 6 3 1 2 4
46,37,5 6 3 1 2 4
47,37,5 6 3 1 2 4
48,37,5 6 3 1 2 4
49,37,5 6 3 1 2 4
50,37,5 6 3 1 2 4
51,37,5 6 3 1 2 4
52,37,5 6 3 1 2 4
53,37,5 6 3 1 2 4
54,37,5 6 3 1 2 4
55,37,5 6 3 1 2 4
56,37,5 6 3 1 2 4
57,37,5 6 3 1 2 4
58,37,5 6 3 1 2 4
59,37,5 6 3 1 2 4
60,37,5 6 3 1 2 4
61,37,5 6 3 1 2 4
62,37,5 6 3 1 2 4
63,36,2 4 3 6 5 1
64,36,2 4 3 6 5 1
65,36,2 4 3 6 5 1
66,36,2 4 3 6 5 1
67,36,2 4 3 6 5 1
68,36,2 4 3 6 5 1
69,36,2 4 3 6 5 1
70,36,2 4 3 6 5 1
71,36,2 4 3 6 5 1
72,36,2 4 3 6 5 1
73,36,2 4 3 6 5 1
74,36,2 4 3 6 5 1
75,36,2 4 3 6 5 1
76,36,2 4 3 6 5 1
77,36,2 4 3 6 5 1
78,36,2 4 3 6 5 1
79,36,2 4 3 6 5 1
80,36,2 4 3 6 5 1
81,36,2 4 3 6 5 1
82,36,2 4 3 6 5 1
83,33,2 1 5 6 3 4
84,33,2 1 5 6 3 4
85,33,2 1 5 6 3 4
86,33,2 1 5 6 3 4
87,33,2 1 5 6 3 4
88,33,2 1 5 6 3 4
89,33,2 1 5 6 3 4
90,33,2 1 5 6 3 4
91,33,2 1 5 6 3 4
92,33,2 1 5 6 3 4
93,33,2 1 5 6 3 4
94,33,2 1 5 6 3 4
95,33,2 1 5 6 3 4
96,33,2 1 5 6 3 4
97,33,2 1 5 6 3 4
98,33,2 1 5 6 3 4
99,33,2 1 5 6 3 4
