Iteration,Cost,Sequence
0,48,4 2 5 6 3 1
1,48,4 2 5 6 3 1
2,38,3 5 6 4 2 1
3,38,3 5 6 4 2 1
4,38,3 5 6 4 2 1
5,38,3 5 6 4 2 1
6,38,3 5 6 4 2 1
7,38,3 5 6 4 2 1
8,37,6 5 3 2 1 4
9,33,2 1 4 3 6 5
10,33,2 1 4 3 6 5
11,33,2 1 4 3 6 5
12,33,2 1 4 3 6 5
13,33,2 1 4 3 6 5
14,33,2 1 4 3 6 5
15,33,2 1 4 3 6 5
16,33,2 1 4 3 6 5
17,33,2 1 4 3 6 5
18,33,2 1 4 3 6 5
19,33,2 1 4 3 6 5
20,33,2 1 4 3 6 5
21,33,2 1 4 3 6 5
22,33,2 1 4 3 6 5
23,33,2 1 4 3 6 5
24,33,2 1 4 3 6 5
25,33,2 1 4 3 6 5
26,33,2 1 4 3 6 5
27,33,2 1 4 3 6 5
28,33,2 1 4 3 6 5
29,33,2 1 4 3 6 5
30,33,2 1 4 3 6 5
31,33,2 1 4 3 6 5
32,33,2 1 4 3 6 5
33,33,2 1 4 3 6 5
34,33,2 1 4 3 6 5
35,29,1 6 5 3 4 2
36,29,1 6 5 3 4 2
37,29,1 6 5 3 4 2
38,29,1 6 5 3 4 2
39,29,1 6 5 3 4 2
40,29,1 6 5 3 4 2
41,29,1 6 5 3 4 2
42,29,1 6 5 3 4 2
43,29,1 6 5 3 4 2
44,29,1 6 5 3 4 2
45,29,1 6 5 3 4 2
46,29,1 6 5 3 4 2
47,29,1 6 5 3 4 2
48,29,1 6 5 3 4 2
49,29,1 6 5 3 4 2
50,29,1 6 5 3 4 2
51,29,1 6 5 3 4 2
52,29,1 6 5 3 4 2
53,29,1 6 5 3 4 2
54,29,1 6 5 3 4 2
55,29,1 6 5 3 4 2
56,29,1 6 5 3 4 2
57,29,1 6 5 3 4 2
58,29,1 6 5 3 4 2
59,29,1 6 5 3 4 2
60,29,1 6 5 3 4 2
61,29,1 6 5 3 4 2
62,29,1 6 5 3 4 2
63,29,1 6 5 3 4 2
64,29,1 6 5 3 4 2
65,29,1 6 5 3 4 2
66,29,1 6 5 3 4 2
67,29,1 6 5 3 4 2
68,29,1 6 5 3 4 2
69,29,1 6 5 3 4 2
70,29,1 6 5 3 4 2
71,29,1 6 5 3 4 2
72,29,1 6 5 3 4 2
73,29,1 6 5 3 4 2
74,29,1 6 5 3 4 2
75,29,1 6 5 3 4 2
76,29,1 6 5 3 4 2
77,29,1 6 5 3 4 2
78,29,1 6 5 3 4 2
79,29,1 6 5 3 4 2
80,29,1 6 5 3 4 2
81,29,1 6 5 3 4 2
82,29,1 6 5 3 4 2
83,29,1 6 5 3 4 2
84,29,1 6 5 3 4 2
85,29,1 6 5 3 4 2
86,29,1 6 5 3 4 2
87,29,1 6 5 3 4 2
88,29,1 6 5 3 4 2
89,29,1 6 5 3 4 2
90,29,1 6 5 3 4 2
91,29,1 6 5 3 4 2
92,29,1 6 5 3 4 2
93,29,1 6 5 3 4 2
94,29,1 6 5 3 4 2
95,29,1 6 5 3 4 2
96,29,1 6 5 3 4 2
97,29,1 6 5 3 4 2
98,29,1 6 5 3 4 2
99,29,1 6 5 3 4 2
