Iteration,Cost,Temperature,Sequence
0,62,1000,5 2 6 4 3 1
1,40,909.0909,5 3 6 4 2 1
2,52,826.4462,5 4 6 3 2 1
3,54,751.3148,5 4 6 1 2 3
4,48,683.0134,5 6 4 1 2 3
5,55,620.9213,5 6 4 1 3 2
6,47,564.4739,1 6 4 5 3 2
7,49,513.1581,6 1 4 5 3 2
8,53,466.5073,6 4 1 5 3 2
9,47,424.0976,6 4 1 2 3 5
10,63,385.5432,6 4 1 3 2 5
11,57,350.4938,6 4 2 3 1 5
12,43,318.6308,6 4 2 1 3 5
13,43,289.6643,6 5 2 1 3 4
14,41,263.3312,6 5 1 2 3 4
15,55,239.392,6 1 5 2 3 4
16,59,217.6291,4 1 5 2 3 6
17,55,197.8446,6 1 5 2 3 4
18,59,179.8587,6 1 3 2 5 4
19,47,163.5079,6 1 3 5 2 4
20,59,148.6436,6 1 3 2 5 4
21,61,135.1305,3 1 6 2 5 4
22,51,122.8459,3 1 4 2 5 6
23,46,111.6781,6 1 4 2 5 3
24,48,101.5255,6 4 1 2 5 3
25,62,92.29594,6 4 1 5 2 3
26,48,83.9054,6 2 1 5 4 3
27,50,76.27764,2 6 1 5 4 3
28,49,69.34331,3 6 1 5 4 2
29,35,63.03937,1 6 3 5 4 2
30,45,57.30851,1 6 3 4 5 2
31,37,52.09865,5 6 3 4 1 2
32,47,47.36241,5 6 1 4 3 2
33,55,43.05673,3 6 1 4 5 2
34,41,39.14248,3 6 5 4 1 2
35,63,35.58408,3 1 5 4 6 2
36,63,32.34916,3 1 6 4 5 2
37,59,29.40833,3 4 6 1 5 2
38,49,26.73484,3 4 1 6 5 2
39,53,24.3044,5 4 1 6 3 2
40,41,22.09491,1 4 5 6 3 2
41,61,20.08628,6 4 5 1 3 2
42,43,18.26025,6 4 2 1 3 5
43,61,16.60023,6 4 5 1 3 2
44,47,15.09112,6 4 5 3 1 2
45,43,13.7192,4 6 5 3 1 2
46,45,12.472,5 6 4 3 1 2
47,37,11.33818,5 6 3 4 1 2
48,57,10.30744,5 2 3 4 1 6
49,61,9.370397,3 2 5 4 1 6
50,57,8.518542,5 2 3 4 1 6
51,37,7.744129,5 6 3 4 1 2
52,47,7.040117,5 6 1 4 3 2
53,41,6.400106,5 6 1 2 3 4
54,41,5.818278,5 6 3 2 1 4
55,63,5.289344,5 1 3 2 6 4
56,59,4.808494,5 1 3 2 4 6
57,63,4.371358,5 1 3 2 6 4
58,55,3.973962,5 1 6 2 3 4
59,61,3.612693,3 1 6 2 5 4
60,51,3.284266,3 1 4 2 5 6
61,45,2.985696,3 4 1 2 5 6
62,51,2.714269,3 1 4 2 5 6
63,63,2.467518,3 1 4 5 2 6
64,57,2.243198,4 1 3 5 2 6
65,48,2.039271,4 6 3 5 2 1
66,34,1.853882,5 6 3 4 2 1
67,38,1.685348,3 6 5 4 2 1
68,52,1.532134,3 6 2 4 5 1
69,43,1.392849,3 1 2 4 5 6
70,49,1.266226,3 5 2 4 1 6
71,41,1.151115,3 5 4 2 1 6
72,47,1.046468,3 5 4 1 2 6
73,49,0.9513347,3 2 4 1 5 6
74,52,0.8648497,3 2 4 6 5 1
75,45,0.786227,3 2 1 6 5 4
76,35,0.7147518,1 2 3 6 5 4
77,35,0.6497743,1 2 6 3 5 4
78,46,0.5907039,4 2 6 3 5 1
79,46,0.5370035,4 2 3 6 5 1
80,62,0.488185,4 6 3 2 5 1
81,58,0.4438046,4 6 2 3 5 1
82,46,0.4034587,4 2 6 3 5 1
83,53,0.3667806,4 2 6 3 1 5
84,50,0.3334369,4 2 6 5 1 3
85,64,0.3031245,5 2 6 4 1 3
86,62,0.2755677,5 2 6 4 3 1
87,56,0.2505161,5 2 4 6 3 1
88,52,0.2277419,5 6 4 2 3 1
89,44,0.2070381,5 6 3 2 4 1
90,43,0.1882164,1 6 3 2 4 5
91,49,0.1711058,1 6 2 3 4 5
92,50,0.1555507,1 6 2 5 4 3
93,59,0.1414098,1 3 2 5 4 6
94,53,0.1285543,1 3 4 5 2 6
95,51,0.1168676,1 5 4 3 2 6
96,56,0.1062432,1 5 4 6 2 3
97,58,0.09658477,2 5 4 6 1 3
98,50,0.08780433,2 5 4 1 6 3
99,54,0.07982212,2 5 1 4 6 3
