Iteration,Cost,Sequence
61,342,4 10 22 18 23 16 19 21 15 24 2 1 9 12 6 3 7 8 5 13 11 14 20 17
62,340,4 10 22 18 23 16 19 21 15 24 2 1 13 12 6 3 7 8 5 9 11 14 20 17
63,334,4 10 22 18 23 16 19 21 15 5 2 1 13 12 6 3 7 8 24 9 11 14 20 17
64,334,4 10 22 18 23 16 19 21 15 5 2 1 13 12 6 3 7 8 24 9 11 14 20 17
65,334,4 10 22 18 23 16 19 21 15 5 2 1 13 12 6 3 7 8 24 9 11 14 20 17
66,334,4 10 22 18 16 23 19 21 15 5 2 1 13 12 6 3 7 8 24 9 11 14 20 17
67,334,4 10 22 18 16 23 19 21 15 5 2 1 13 12 6 3 7 8 24 9 11 14 20 17
68,334,4 10 22 18 16 23 19 21 15 5 2 1 13 12 6 3 7 8 24 9 11 14 20 17
69,334,4 10 22 18 16 23 19 21 15 5 2 1 13 12 6 3 7 8 24 9 11 14 20 17
70,334,4 10 22 18 16 23 19 21 15 5 2 1 13 12 6 3 7 8 20 9 11 14 24 17
71,334,4 10 22 18 16 23 19 21 15 5 2 1 13 12 6 3 7 8 20 9 11 14 24 17
72,334,4 10 22 18 16 23 19 21 15 5 2 1 13 12 6 3 7 8 20 9 11 14 24 17
73,334,4 10 22 18 16 23 19 21 15 5 2 1 13 12 6 3 7 8 20 14 11 9 24 17
74,334,4 10 22 18 16 23 19 21 15 5 2 1 13 12 6 3 7 8 20 14 11 9 24 17
75,334,4 10 22 18 16 23 19 21 15 5 2 1 13 12 6 3 7 8 20 14 11 9 24 17
76,334,4 10 22 18 16 23 19 21 15 5 2 1 13 12 6 3 7 8 20 14 11 9 24 17
77,334,4 10 22 18 23 16 19 21 15 5 2 1 13 12 6 3 7 8 20 14 11 9 24 17
78,314,4 10 22 18 23 16 19 21 15 5 2 1 13 12 6 3 7 8 17 14 11 9 24 20
79,314,4 10 22 18 23 16 19 21 15 5 2 1 13 12 6 3 7 8 17 14 11 9 24 20
80,314,4 10 22 18 23 16 19 21 15 5 2 1 13 12 6 3 7 8 17 14 11 9 24 20
81,314,4 10 22 18 23 16 19 21 15 5 2 1 13 12 6 3 7 8 17 14 11 9 24 20
82,314,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 17 13 11 9 24 20
83,314,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 17 13 11 9 24 20
84,314,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 17 13 11 9 24 20
85,314,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 17 13 11 9 24 20
86,314,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 17 13 11 9 24 20
87,314,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 17 13 11 9 24 20
88,314,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 17 13 11 9 24 20
89,314,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 17 13 11 9 24 20
90,312,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 9 13 11 17 24 20
91,312,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 9 13 11 17 24 20
92,312,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 9 13 11 17 24 20
93,312,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 9 13 11 17 24 20
94,312,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 9 13 11 17 24 20
95,312,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 9 13 11 17 24 20
96,312,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 9 13 11 17 24 20
97,312,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 9 13 11 17 24 20
98,312,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 9 13 11 17 24 20
99,312,4 10 22 18 23 16 19 21 15 5 2 1 14 12 6 3 7 8 9 13 11 17 24 20
