Iteration,Cost,Sequence
0,46,2 4 6 5 1 3
1,46,2 4 6 5 1 3
2,46,2 4 6 5 1 3
3,46,2 4 6 5 1 3
4,46,2 4 6 5 1 3
5,41,5 1 2 4 3 6
6,41,5 1 2 4 3 6
7,41,5 1 2 4 3 6
8,39,1 2 3 4 6 5
9,35,1 3 5 6 2 4
10,35,1 3 5 6 2 4
11,35,1 3 5 6 2 4
12,35,1 3 5 6 2 4
13,35,1 3 5 6 2 4
14,35,1 3 5 6 2 4
15,35,1 3 5 6 2 4
16,35,1 3 5 6 2 4
17,35,1 3 5 6 2 4
18,35,1 3 5 6 2 4
19,35,1 3 5 6 2 4
20,35,1 3 5 6 2 4
21,35,1 3 5 6 2 4
22,35,1 3 5 6 2 4
23,35,1 3 5 6 2 4
24,35,1 3 5 6 2 4
25,35,1 3 5 6 2 4
26,35,1 3 5 6 2 4
27,35,1 3 5 6 2 4
28,35,1 3 5 6 2 4
29,35,1 3 5 6 2 4
30,35,1 3 5 6 2 4
31,35,1 3 5 6 2 4
32,35,1 3 5 6 2 4
33,35,1 3 5 6 2 4
34,35,1 3 5 6 2 4
35,35,1 3 5 6 2 4
36,35,1 3 5 6 2 4
37,35,1 3 5 6 2 4
38,35,1 3 5 6 2 4
39,33,1 5 6 3 4 2
40,25,1 2 4 3 5 6
41,25,1 2 4 3 5 6
42,25,1 2 4 3 5 6
43,25,1 2 4 3 5 6
44,25,1 2 4 3 5 6
45,25,1 2 4 3 5 6
46,25,1 2 4 3 5 6
47,25,1 2 4 3 5 6
48,25,1 2 4 3 5 6
49,25,1 2 4 3 5 6
50,25,1 2 4 3 5 6
51,25,1 2 4 3 5 6
52,25,1 2 4 3 5 6
53,25,1 2 4 3 5 6
54,25,1 2 4 3 5 6
55,25,1 2 4 3 5 6
56,25,1 2 4 3 5 6
57,25,1 2 4 3 5 6
58,25,1 2 4 3 5 6
59,25,1 2 4 3 5 6
60,25,1 2 4 3 5 6
61,25,1 2 4 3 5 6
62,25,1 2 4 3 5 6
63,25,1 2 4 3 5 6
64,25,1 2 4 3 5 6
65,25,1 2 4 3 5 6
66,25,1 2 4 3 5 6
67,25,1 2 4 3 5 6
68,25,1 2 4 3 5 6
69,25,1 2 4 3 5 6
70,25,1 2 4 3 5 6
71,25,1 2 4 3 5 6
72,25,1 2 4 3 5 6
73,25,1 2 4 3 5 6
74,25,1 2 4 3 5 6
75,25,1 2 4 3 5 6
76,25,1 2 4 3 5 6
77,25,1 2 4 3 5 6
78,25,1 2 4 3 5 6
79,25,1 2 4 3 5 6
80,25,1 2 4 3 5 6
81,25,1 2 4 3 5 6
82,25,1 2 4 3 5 6
83,25,1 2 4 3 5 6
84,25,1 2 4 3 5 6
85,25,1 2 4 3 5 6
86,25,1 2 4 3 5 6
87,25,1 2 4 3 5 6
88,25,1 2 4 3 5 6
89,25,1 2 4 3 5 6
90,25,1 2 4 3 5 6
91,25,1 2 4 3 5 6
92,25,1 2 4 3 5 6
93,25,1 2 4 3 5 6
94,25,1 2 4 3 5 6
95,25,1 2 4 3 5 6
96,25,1 2 4 3 5 6
97,25,1 2 4 3 5 6
98,25,1 2 4 3 5 6
99,25,1 2 4 3 5 6
