Iteration,Cost,Temperature,Sequence
0,62,1000,5 2 6 4 3 1
1,40,3.321928,5 3 6 4 2 1
2,52,2.095903,5 4 6 3 2 1
3,54,1.660964,5 4 6 1 2 3
4,48,1.430677,5 6 4 1 2 3
5,55,1.285097,5 6 4 1 3 2
6,47,1.183295,1 6 4 5 3 2
7,49,1.107309,6 1 4 5 3 2
8,53,1.047952,6 4 1 5 3 2
9,47,1,6 4 1 2 3 5
10,63,0.9602526,6 4 1 3 2 5
11,57,0.9266285,6 4 2 3 1 5
12,43,0.8977118,6 4 2 1 3 5
13,43,0.8725029,6 5 2 1 3 4
14,41,0.8502741,6 5 1 2 3 4
15,55,0.830482,6 1 5 2 3 4
16,59,0.8127115,4 1 5 2 3 6
17,55,0.7966397,6 1 5 2 3 4
18,59,0.7820114,6 1 3 2 5 4
19,47,0.7686217,6 1 3 5 2 4
20,59,0.7563042,6 1 3 2 5 4
21,61,0.7449219,3 1 6 2 5 4
22,51,0.7343611,3 1 4 2 5 6
23,46,0.7245268,6 1 4 2 5 3
24,48,0.7153383,6 4 1 2 5 3
25,62,0.7067271,6 4 1 5 2 3
26,48,0.6986344,6 2 1 5 4 3
27,50,0.6910096,2 6 1 5 4 3
28,49,0.6838083,3 6 1 5 4 2
29,35,0.6769925,1 6 3 5 4 2
30,45,0.6705281,1 6 3 4 5 2
31,37,0.6643856,5 6 3 4 1 2
32,47,0.6585386,5 6 1 4 3 2
33,55,0.6529636,3 6 1 4 5 2
34,41,0.6476398,3 6 5 4 1 2
35,63,0.6425486,3 1 5 4 6 2
36,63,0.637673,3 1 6 4 5 2
37,59,0.6329981,3 4 6 1 5 2
38,49,0.62851,3 4 1 6 5 2
39,53,0.6241964,5 4 1 6 3 2
40,41,0.6200458,1 4 5 6 3 2
41,61,0.6160483,6 4 5 1 3 2
42,43,0.6121942,6 4 2 1 3 5
43,61,0.6084751,6 4 5 1 3 2
44,47,0.6048829,6 4 5 3 1 2
45,43,0.6014104,4 6 5 3 1 2
46,45,0.5980511,5 6 4 3 1 2
47,37,0.5947986,5 6 3 4 1 2
48,57,0.5916473,5 2 3 4 1 6
49,61,0.5885919,3 2 5 4 1 6
50,57,0.5856274,5 2 3 4 1 6
51,37,0.5827495,5 6 3 4 1 2
52,47,0.5799536,5 6 1 4 3 2
53,41,0.577236,5 6 1 2 3 4
54,41,0.5745929,5 6 3 2 1 4
55,63,0.5720208,5 1 3 2 6 4
56,59,0.5695167,5 1 3 2 4 6
57,63,0.5670773,5 1 3 2 6 4
58,55,0.5646999,5 1 6 2 3 4
59,61,0.5623819,3 1 6 2 5 4
60,51,0.5601206,3 1 4 2 5 6
61,45,0.5579138,3 4 1 2 5 6
62,51,0.5557591,3 1 4 2 5 6
63,63,0.5536547,3 1 4 5 2 6
64,57,0.5515984,4 1 3 5 2 6
65,48,0.5495883,4 6 3 5 2 1
66,34,0.5476227,5 6 3 4 2 1
67,38,0.5457,3 6 5 4 2 1
68,52,0.5438184,3 6 2 4 5 1
69,43,0.5419766,3 1 2 4 5 6
70,49,0.5401731,3 5 2 4 1 6
71,41,0.5384066,3 5 4 2 1 6
72,47,0.5366756,3 5 4 1 2 6
73,49,0.5349792,3 2 4 1 5 6
74,52,0.5333159,3 2 4 6 5 1
75,45,0.5316848,3 2 1 6 5 4
76,35,0.5300848,1 2 3 6 5 4
77,35,0.5285148,1 2 6 3 5 4
78,46,0.5269739,4 2 6 3 5 1
79,46,0.5254612,4 2 3 6 5 1
80,62,0.5239758,4 6 3 2 5 1
81,58,0.5225168,4 6 2 3 5 1
82,46,0.5210835,4 2 6 3 5 1
83,53,0.5196751,4 2 6 3 1 5
84,50,0.5182908,4 2 6 5 1 3
85,64,0.5169299,5 2 6 4 1 3
86,62,0.5155917,5 2 6 4 3 1
87,56,0.5142756,5 2 4 6 3 1
88,52,0.512981,5 6 4 2 3 1
89,44,0.5117072,5 6 3 2 4 1
90,43,0.5104538,1 6 3 2 4 5
91,49,0.50922,1 6 2 3 4 5
92,50,0.5080054,1 6 2 5 4 3
93,59,0.5068095,1 3 2 5 4 6
94,53,0.5056318,1 3 4 5 2 6
95,51,0.5044718,1 5 4 3 2 6
96,56,0.5033291,1 5 4 6 2 3
97,58,0.5022032,2 5 4 6 1 3
98,50,0.5010936,2 5 4 1 6 3
99,54,0.5,2 5 1 4 6 3
